"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2005,0,0,27755,942330,0,0,0,0,,27755,942330,2.065581,19464.58,573.3
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2006,0,0,27755,942330,0,0,0,0,,27755,942330,2.062474,19435.32,572.44
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2007,0,0,27755,947665,0,0,0,0,,27755,947665,2.106393,19961.54,584.63
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2008,0,0,27755,947665,0,0,0,0,,27755,947665,2.12665,20153.52,590.25
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2009,0,0,27755,947665,0,0,0,0,,27755,947665,2.115374,20046.66,587.12
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2010,0,0,27755,947665,0,0,0,0,,27755,947665,2.098526,19887,582.45
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2011,0,0,27755,947665,0,0,0,0,,27755,947665,2.146174,20338.54,595.67
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2012,0,0,27755,947665,0,0,0,0,,27755,947665,2.106377,19961.4,584.62
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2013,0,0,27755,947665,0,0,0,0,,27755,947665,2.078085,19693.28,576.77
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2004,7573515,831945,7551010,345505,0,0,0,0,,15124525,1177450,2.042774,24052.64,308959.86
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2005,7613815,822285,7424560,1497520,0,0,0,0,,15038375,2319805,2.065581,47917.42,310629.82
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2006,7598900,931115,7504620,1754305,0,0,0,0,,15103520,2685420,2.062474,55386.04,311506.17
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2007,7435550,1511260,7506610,1870330,0,0,0,0,,14942160,3381590,2.106393,71229.52,314740.61
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2008,7399210,1704585,7389670,3352945,0,0,0,0,,14788880,5057530,2.12665,107555.98,314507.72
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2009,7345035,1820210,7353980,3394070,0,0,0,0,,14699015,5214280,2.115374,110301.56,310939.14
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2010,7126865,2577530,7350580,3433215,0,0,0,0,,14477445,6010745,2.098526,126137,303812.95
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2011,7073135,2580470,7233120,3059435,0,0,0,0,,14306255,5639905,2.146174,121042.1,307037.13
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2012,7010035,2742500,7166790,3307945,0,0,0,0,,14176825,6050445,2.106377,127445.02,298617.38
64-0802,NEMAHA,64,TIF AUBURN PROJECT NO. 1,12/9/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: City of Auburn Redevelopment Area # 1
A large tract of land of approximately 16 block long north and south by various (2-10) blocks wide east and west in the downtown area.
Description: TIF funds approved for public infrastructure (brick street rehab, infill vacant parcels, alley resurfacing, parking areas, water and sewer mains repair, street curb, gutter repair & sidewalk repair) and facade improvement of Courthouse Square and Downtown buildings to enhance architectural character of the 1880's commercial district.",2013,6938950,2770515,7148080,3383875,0,0,0,0,,14087030,6154390,2.078085,127893.52,292740.46
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2005,0,0,29485,0,0,0,0,0,,29485,0,2.065581,0,609.04
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2006,0,0,29485,317565,0,0,0,0,,29485,317565,2.062474,6549.7,608.12
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2007,0,0,29485,317565,0,0,0,0,,29485,317565,2.106393,6689.16,621.07
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2008,0,0,29485,317565,0,0,0,0,,29485,317565,2.12665,6753.5,627.04
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2009,0,0,29485,317565,0,0,0,0,,29485,317565,2.115374,6717.68,623.72
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2010,0,0,29485,317565,0,0,0,0,,29485,317565,2.098526,6664.18,618.75
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2011,0,0,29485,317565,0,0,0,0,,29485,317565,2.146174,6815.5,632.8
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2012,0,0,29485,317565,0,0,0,0,,29485,317565,2.106377,6689.12,621.07
64-0803,NEMAHA,64,TIF AUBURN BOWLING ALLEY,1/17/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Auburn Bowling Center, LLC
The West half of Block 2 and 7 and the adjacent vacated streets in the Grand View Addition
Description: TIF funds used for acquisition, construction, improving and equipping of bowling alley.",2013,0,0,29485,317565,0,0,0,0,,29485,317565,2.078085,6599.28,612.72
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2005,0,0,17845,0,0,0,0,0,,17845,0,2.065581,0,368.6
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2006,0,0,17845,652275,0,0,0,0,,17845,652275,2.062474,13453,368.05
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2007,0,0,17845,652275,0,0,0,0,,17845,652275,2.106393,13739.48,375.89
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2008,0,0,17845,652275,0,0,0,0,,17845,652275,2.12665,13871.6,379.5
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2009,0,0,17845,652275,0,0,0,0,,17845,652275,2.115374,13798.06,377.49
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2010,0,0,17845,652275,0,0,0,0,,17845,652275,2.098526,13688.16,374.48
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2011,0,0,17845,652275,0,0,0,0,,17845,652275,2.146174,13998.96,382.98
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2012,0,0,17845,652275,0,0,0,0,,17845,652275,2.106377,13739.38,375.88
64-0804,NEMAHA,64,TIF HEMINGSEN FUNERAL HOME,7/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Hemmingsen Funeral Home, Inc
Lot 3, Glenrock Addition
Description: TIF funds used for acquisition, construction, improving and equipping of a funeral home.",2013,0,0,17845,652275,0,0,0,0,,17845,652275,2.078085,13554.82,370.83
64-0806,NEMAHA,64,"TIF TERRACE HEIGHTS II, LLC",12/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village II, LLC
Lot 2, Block 3 Terrace Heights 3rd Addition
Description: TIF funds used for the acquisition, construction, improving and equipping a 16-unit elderly housing facility and community room.",2006,34435,90000,0,0,0,0,0,0,,34435,90000,2.062474,1856.22,710.21
64-0806,NEMAHA,64,"TIF TERRACE HEIGHTS II, LLC",12/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village II, LLC
Lot 2, Block 3 Terrace Heights 3rd Addition
Description: TIF funds used for the acquisition, construction, improving and equipping a 16-unit elderly housing facility and community room.",2007,0,0,34435,1017710,0,0,0,0,,34435,1017710,2.106393,21436.98,725.34
64-0806,NEMAHA,64,"TIF TERRACE HEIGHTS II, LLC",12/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village II, LLC
Lot 2, Block 3 Terrace Heights 3rd Addition
Description: TIF funds used for the acquisition, construction, improving and equipping a 16-unit elderly housing facility and community room.",2008,0,0,34435,1017710,0,0,0,0,,34435,1017710,2.12665,21643.12,732.31
64-0806,NEMAHA,64,"TIF TERRACE HEIGHTS II, LLC",12/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village II, LLC
Lot 2, Block 3 Terrace Heights 3rd Addition
Description: TIF funds used for the acquisition, construction, improving and equipping a 16-unit elderly housing facility and community room.",2009,0,0,34435,1017710,0,0,0,0,,34435,1017710,2.115374,21528.38,728.43
64-0806,NEMAHA,64,"TIF TERRACE HEIGHTS II, LLC",12/15/2005,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village II, LLC
Lot 2, Block 3 Terrace Heights 3rd Addition
Description: TIF funds used for the acquisition, construction, improving and equipping a 16-unit elderly housing facility and community room.",2010,0,0,34435,1017710,0,0,0,0,,34435,1017710,2.098526,21356.9,722.63
